state,date1,date2,n,rate,lwr,upr,metric,survey
IL,3/22/2021,4/3/2021,1457,28.6,26.14,31.31,N,Commerical
IN,3/18/2021,3/30/2021,455,21.5,16.83,27.11,N,Commerical
KS,3/17/2021,3/27/2021,1231,14.6,12.42,16.98,N,Commerical
KY,3/22/2021,4/3/2021,1382,23.4,20.92,26.06,N,Commerical
LA,3/19/2021,4/3/2021,1293,13.8,11.56,16.47,N,Commerical
MA,3/22/2021,4/3/2021,1302,8.8,7.18,10.43,N,Commerical
MD,3/18/2021,3/31/2021,915,25.9,22.12,29.39,N,Commerical
ME,3/22/2021,4/3/2021,605,2.4,1.32,3.93,N,Commerical
MI,3/22/2021,4/4/2021,1319,23.1,19.89,26.51,N,Commerical
MN,3/16/2021,3/29/2021,1296,13.5,11.38,15.8,N,Commerical
MO,3/22/2021,3/31/2021,1295,26.6,23.46,29.99,N,Commerical
MS,3/22/2021,4/4/2021,1442,29.9,26,33.74,N,Commerical
MT,3/22/2021,4/2/2021,540,15.3,11.67,19.47,N,Commerical
NC,3/24/2021,3/31/2021,1362,22.9,20.54,25.63,N,Commerical
ND,3/22/2021,4/2/2021,36,777,NA,NA,N,Commerical
NE,3/19/2021,4/1/2021,1296,17.1,14.25,20.28,N,Commerical
NH,3/22/2021,3/30/2021,1297,8.8,6.86,10.78,N,Commerical
NJ,3/18/2021,3/31/2021,934,27.9,24.5,31.55,N,Commerical
NM,3/19/2021,4/3/2021,1298,17.1,14.5,19.72,N,Commerical
NV,3/22/2021,3/30/2021,1306,29.6,26.59,32.59,N,Commerical
NY,3/16/2021,4/3/2021,1297,12.2,10.33,14.61,N,Commerical
OH,3/22/2021,3/30/2021,1338,34.5,31.68,37.09,N,Commerical
OK,3/18/2021,3/26/2021,1299,15.6,13.43,18.07,N,Commerical
OR,3/17/2021,3/31/2021,1314,6.3,4.69,7.95,N,Commerical
PA,3/22/2021,4/4/2021,1736,19.4,16.97,21.66,N,Commerical
PR,3/22/2021,3/30/2021,1301,32.9,30.03,36.02,N,Commerical
RI,3/22/2021,4/3/2021,937,12.2,9.4,14.84,N,Commerical
SC,3/22/2021,4/1/2021,1547,25.8,23.28,28.5,N,Commerical
SD,3/22/2021,4/2/2021,339,27.9,18.43,33.86,N,Commerical
TN,3/22/2021,4/3/2021,1578,27,23.76,30.02,N,Commerical
TX,3/18/2021,4/1/2021,1187,31.2,26.62,35.21,N,Commerical
UT,3/22/2021,3/30/2021,1310,29.9,24.52,35.05,N,Commerical
VA,3/18/2021,3/31/2021,930,14.8,11.49,18.47,N,Commerical
VT,3/22/2021,4/3/2021,556,1.7,0.52,3.38,N,Commerical
WA,3/15/2021,3/31/2021,1314,5,3.67,6.56,N,Commerical
WI,3/22/2021,4/2/2021,1342,30.8,27.12,35.1,N,Commerical
WV,3/21/2021,4/3/2021,1086,11.7,9.24,14.45,N,Commerical
WY,3/22/2021,4/2/2021,697,24.2,18.51,31.01,N,Commerical
AK,3/31/2021,4/15/2021,1309,9.9,6.19,14.21,N,Commerical
AL,4/5/2021,4/17/2021,1485,30.3,27.36,33.38,N,Commerical
AR,4/5/2021,4/18/2021,1360,26.4,23.62,28.92,N,Commerical
AZ,4/5/2021,4/8/2021,1392,27.9,25.1,30.74,N,Commerical
CA,4/5/2021,4/9/2021,1278,24.1,21.47,26.77,N,Commerical
CO,3/29/2021,4/16/2021,1280,13.6,10.82,16.96,N,Commerical
CT,4/5/2021,4/18/2021,1286,10.4,8.58,12.29,N,Commerical
DC,4/5/2021,4/10/2021,1316,22.6,19.69,25.6,N,Commerical
DE,4/5/2021,4/17/2021,1480,16.7,14.45,19.09,N,Commerical
FL,4/5/2021,4/12/2021,1314,22.3,19.78,24.8,N,Commerical
GA,4/5/2021,4/7/2021,1299,17.7,15.41,20.36,N,Commerical
HI,4/1/2021,4/18/2021,1324,2.5,1.19,4.6,N,Commerical
IA,4/1/2021,4/16/2021,1293,20.5,16.92,24.12,N,Commerical
ID,4/2/2021,4/16/2021,1293,18.5,14.21,22.72,N,Commerical
IL,4/5/2021,4/17/2021,1303,33.6,30.53,36.82,N,Commerical
IN,4/1/2021,4/14/2021,822,25.8,20.03,31.98,N,Commerical
KS,4/2/2021,4/13/2021,1293,15,12.66,17.53,N,Commerical
KY,4/5/2021,4/18/2021,1350,23.9,21.34,26.53,N,Commerical
LA,4/1/2021,4/17/2021,1294,14.5,12.27,17.04,N,Commerical
MA,4/5/2021,4/17/2021,1293,10.7,8.84,12.7,N,Commerical
MD,4/1/2021,4/15/2021,1175,25.7,21.9,29.37,N,Commerical
ME,4/5/2021,4/17/2021,597,4.7,2.81,6.98,N,Commerical
MI,4/5/2021,4/18/2021,1345,24.3,21.32,27.62,N,Commerical
MN,3/30/2021,4/16/2021,1297,11.1,9.23,13.25,N,Commerical
MO,4/5/2021,4/18/2021,1347,26,22.94,29.45,N,Commerical
MS,4/5/2021,4/14/2021,1528,27.7,23.81,32.33,N,Commerical
MT,4/5/2021,4/16/2021,311,13.2,8.53,18.17,N,Commerical
NC,4/5/2021,4/14/2021,1304,23,20.21,25.64,N,Commerical
ND,4/5/2021,4/16/2021,22,777,NA,NA,N,Commerical
NE,4/2/2021,4/16/2021,1292,17.9,14.09,21.36,N,Commerical
NH,4/5/2021,4/8/2021,1304,7.9,5.64,11.89,N,Commerical
NJ,4/1/2021,4/15/2021,1143,31.3,28.13,34.31,N,Commerical
NM,3/30/2021,4/17/2021,1297,16.4,14,18.91,N,Commerical
NV,4/5/2021,4/16/2021,1307,27.4,24.19,30.67,N,Commerical
NY,3/30/2021,4/17/2021,1297,12.3,10.32,14.48,N,Commerical
OH,4/5/2021,4/17/2021,1372,33.2,30.65,35.91,N,Commerical
OK,4/2/2021,4/9/2021,1300,18.7,16.29,20.9,N,Commerical
OR,4/2/2021,4/14/2021,1308,6.8,5.04,8.64,N,Commerical
PA,4/5/2021,4/18/2021,1592,22.5,19.95,25.53,N,Commerical
PR,4/5/2021,4/13/2021,1300,43.9,40.67,47.31,N,Commerical
RI,4/5/2021,4/17/2021,944,12.4,9.99,14.87,N,Commerical
SC,4/5/2021,4/15/2021,1384,24.2,21.55,26.47,N,Commerical
SD,4/5/2021,4/16/2021,215,26.3,16.9,38.82,N,Commerical
TN,4/5/2021,4/17/2021,1450,29.5,26.87,32.35,N,Commerical
TX,4/1/2021,4/15/2021,1198,33.9,29.92,38.55,N,Commerical
UT,4/5/2021,4/12/2021,1314,27.4,22.15,32.21,N,Commerical
VA,4/1/2021,4/15/2021,1119,15.8,12.64,19.82,N,Commerical
VT,4/5/2021,4/17/2021,600,2.4,0.98,4.25,N,Commerical
WA,4/2/2021,4/15/2021,1301,6.6,4.92,8.19,N,Commerical
WI,4/5/2021,4/17/2021,1321,30.1,26.59,33.36,N,Commerical
WV,4/5/2021,4/17/2021,1035,10.5,7.89,13.22,N,Commerical
WY,4/5/2021,4/17/2021,1012,29,23.75,33.81,N,Commerical
AK,4/14/2021,4/30/2021,1308,11.1,8.44,14.1,N,Commerical
AL,4/19/2021,5/2/2021,1661,27.2,24.92,29.95,N,Commerical
AR,4/19/2021,5/1/2021,1346,24.3,21.76,27.17,N,Commerical
AZ,4/19/2021,4/23/2021,1297,26.3,23.72,29.33,N,Commerical
CA,4/19/2021,4/24/2021,1306,25.2,22.64,27.99,N,Commerical
CO,4/12/2021,4/23/2021,1323,11.7,8.95,15.26,N,Commerical
CT,4/19/2021,5/2/2021,1293,11.9,9.99,13.94,N,Commerical
DC,4/19/2021,5/1/2021,1303,23.1,19.73,26.05,N,Commerical
DE,4/19/2021,5/1/2021,1192,18.9,16.2,21.59,N,Commerical
FL,4/20/2021,4/26/2021,1338,21.1,19,23.56,N,Commerical
GA,4/19/2021,4/21/2021,1297,17,14.56,19.64,N,Commerical
HI,4/14/2021,5/1/2021,1017,2.9,1.19,5.39,N,Commerical
IA,4/16/2021,4/30/2021,1274,15.5,12.33,18.58,N,Commerical
ID,4/16/2021,5/1/2021,1306,11.6,9.22,14.4,N,Commerical
IL,4/19/2021,5/2/2021,1359,31.5,28.46,34.79,N,Commerical
IN,4/15/2021,4/28/2021,828,24.5,19.65,29.16,N,Commerical
KS,4/12/2021,4/24/2021,1308,12.3,9.85,14.83,N,Commerical
KY,4/19/2021,5/1/2021,1308,21.8,19.28,24.48,N,Commerical
LA,4/16/2021,5/1/2021,1281,13.5,11.03,15.95,N,Commerical
MA,4/19/2021,5/2/2021,1281,10.2,8.31,11.98,N,Commerical
MD,4/15/2021,4/29/2021,906,28.1,24.38,31.39,N,Commerical
ME,4/18/2021,5/1/2021,677,3.9,2.28,5.67,N,Commerical
MI,4/19/2021,5/2/2021,1207,26.7,23.33,30.25,N,Commerical
MN,4/13/2021,4/29/2021,1295,11.8,9.55,14.08,N,Commerical
MO,4/19/2021,4/28/2021,1311,27.7,24.53,30.83,N,Commerical
MS,4/19/2021,4/30/2021,1462,27,24.06,29.84,N,Commerical
MT,4/17/2021,5/1/2021,615,9.9,7.24,13.2,N,Commerical
NC,4/19/2021,4/28/2021,1303,21.9,19.19,24.62,N,Commerical
ND,4/19/2021,4/30/2021,24,777,NA,NA,N,Commerical
NE,4/16/2021,5/1/2021,1306,18.3,15,21.68,N,Commerical
NH,4/19/2021,4/28/2021,1307,9.6,7.1,12.36,N,Commerical
NJ,4/15/2021,4/29/2021,852,28.4,24.78,31.98,N,Commerical
NM,4/16/2021,5/1/2021,1298,14.5,12.32,17.02,N,Commerical
NV,4/19/2021,4/26/2021,1301,25.5,22.17,29.19,N,Commerical
NY,4/12/2021,4/30/2021,1278,15.2,12.63,17.78,N,Commerical
OH,4/19/2021,5/2/2021,1470,37.5,34.63,40.35,N,Commerical
OK,4/17/2021,4/23/2021,1299,17.7,15.35,20.04,N,Commerical
OR,4/14/2021,4/29/2021,1277,6.7,5.12,8.55,N,Commerical
PA,4/19/2021,4/30/2021,1229,21.2,18.4,24.52,N,Commerical
PR,4/19/2021,4/29/2021,1300,53.2,49.85,56.52,N,Commerical
RI,4/19/2021,5/2/2021,980,12.3,9.56,15.02,N,Commerical
SC,4/19/2021,4/29/2021,1305,24.8,22.39,27.56,N,Commerical
SD,4/19/2021,4/30/2021,223,30.9,21.54,41.11,N,Commerical
TN,4/19/2021,5/2/2021,1331,27,23.75,30.45,N,Commerical
TX,4/16/2021,4/29/2021,944,29.6,25.71,33.81,N,Commerical
UT,4/19/2021,4/26/2021,1300,27.8,22.93,32.77,N,Commerical
VA,4/15/2021,4/29/2021,940,16.6,12.86,20.84,N,Commerical
VT,4/19/2021,5/1/2021,621,4.3,2.51,6.33,N,Commerical
WA,4/16/2021,4/30/2021,1310,5.5,4.13,6.85,N,Commerical
WI,4/19/2021,4/26/2021,1340,29.3,24.68,33.8,N,Commerical
WV,4/19/2021,5/2/2021,952,11.5,8.7,14.18,N,Commerical
WY,4/19/2021,5/1/2021,1079,26.4,21.47,31.52,N,Commerical
AK,4/29/2021,5/15/2021,1300,10.4,8.07,13.21,N,Commerical
AL,5/3/2021,5/16/2021,1572,28.4,26.1,30.71,N,Commerical
AR,5/3/2021,5/15/2021,1300,25.6,22.89,28.53,N,Commerical
AZ,5/3/2021,5/10/2021,1304,27.1,24.24,29.91,N,Commerical
CA,5/3/2021,5/10/2021,1316,27.4,24.63,29.86,N,Commerical
CO,4/26/2021,5/12/2021,1269,11.2,8.64,13.97,N,Commerical
CT,5/3/2021,5/16/2021,1282,10.1,8.16,12.14,N,Commerical
DC,5/3/2021,5/15/2021,1300,23.9,20.41,27.4,N,Commerical
DE,5/3/2021,5/15/2021,1446,20.8,18.64,23.13,N,Commerical
FL,5/3/2021,5/15/2021,1183,27.9,24.98,31.04,N,Commerical
GA,4/30/2021,5/10/2021,1299,16.1,13.64,18.72,N,Commerical
HI,4/28/2021,5/15/2021,1175,2.7,1.65,3.88,N,Commerical
IA,4/27/2021,5/14/2021,1003,14.9,11.73,18.53,N,Commerical
ID,4/26/2021,5/15/2021,1302,15.8,11.62,20.46,N,Commerical
IL,5/3/2021,5/15/2021,1443,35.4,32.19,38.94,N,Commerical
IN,4/29/2021,5/13/2021,591,18.5,14.44,22.52,N,Commerical
KS,4/29/2021,5/13/2021,1285,13.1,10.63,15.7,N,Commerical
KY,5/3/2021,5/15/2021,1364,22.9,20.27,25.51,N,Commerical
LA,4/30/2021,5/13/2021,1285,13.3,11.06,15.63,N,Commerical
MA,5/3/2021,5/16/2021,1286,11.4,9.34,13.52,N,Commerical
MD,4/29/2021,5/13/2021,1368,26.3,23.43,29.48,N,Commerical
ME,5/3/2021,5/15/2021,546,4.9,2.86,6.9,N,Commerical
MI,5/3/2021,5/16/2021,1349,24.4,20.89,27.73,N,Commerical
MN,4/30/2021,5/13/2021,1289,14.1,11.93,16.54,N,Commerical
MO,5/3/2021,5/15/2021,1378,26.1,22.89,29.31,N,Commerical
MS,5/3/2021,5/16/2021,1462,27.7,24.89,30.61,N,Commerical
MT,5/2/2021,5/14/2021,622,14.6,10.24,19.6,N,Commerical
NC,5/3/2021,5/12/2021,1307,24.4,22.1,26.97,N,Commerical
ND,5/3/2021,5/13/2021,12,777,NA,NA,N,Commerical
NE,4/30/2021,5/15/2021,1315,14.9,12.13,17.93,N,Commerical
NH,5/3/2021,5/11/2021,1361,7.1,5.38,10.32,N,Commerical
NJ,4/29/2021,5/13/2021,1512,32.4,29.34,35.06,N,Commerical
NM,4/30/2021,5/15/2021,1294,13.1,10.72,15.72,N,Commerical
NV,5/3/2021,5/15/2021,1319,27.8,24.45,31.17,N,Commerical
NY,4/28/2021,5/15/2021,1312,13.1,10.78,15.28,N,Commerical
OH,5/3/2021,5/16/2021,1387,36.7,34,39.44,N,Commerical
OK,5/2/2021,5/7/2021,1300,14.1,11.82,16.35,N,Commerical
OR,4/28/2021,5/12/2021,1299,5,3.49,6.69,N,Commerical
PA,5/3/2021,5/16/2021,1528,24.4,21.49,27.15,N,Commerical
PR,5/3/2021,5/11/2021,1300,63.1,59.66,66.17,N,Commerical
RI,5/3/2021,5/15/2021,897,11.7,8.87,14.28,N,Commerical
SC,5/3/2021,5/13/2021,1307,26.7,23.84,29.47,N,Commerical
SD,5/3/2021,5/14/2021,214,34.2,26.49,41.71,N,Commerical
TN,5/3/2021,5/15/2021,1579,27,24.12,29.68,N,Commerical
TX,4/30/2021,5/13/2021,967,30.7,26.26,34.7,N,Commerical
UT,5/3/2021,5/11/2021,1305,26.7,22.91,30.29,N,Commerical
VA,4/29/2021,5/13/2021,1481,15.8,12.46,19.07,N,Commerical
VT,5/3/2021,5/15/2021,523,4.3,2.23,6.77,N,Commerical
WA,4/26/2021,5/15/2021,1307,6.8,5.18,8.52,N,Commerical
WI,5/3/2021,5/15/2021,1323,27.6,24.32,30.92,N,Commerical
WV,5/3/2021,5/15/2021,1387,10.6,8.57,12.87,N,Commerical
WY,5/3/2021,5/15/2021,653,28.6,24.13,33.15,N,Commerical
AK,5/10/2021,5/29/2021,1296,11.9,7.53,16.36,N,Commerical
AL,5/17/2021,5/30/2021,1477,27.7,24.99,30.27,N,Commerical
AR,5/17/2021,5/29/2021,1341,25.6,23.12,28.08,N,Commerical
AZ,5/17/2021,5/20/2021,1303,31.3,28.34,34.26,N,Commerical
CA,5/17/2021,5/29/2021,1307,22.9,20.45,25.43,N,Commerical
CO,5/15/2021,5/27/2021,1314,14.4,11.36,17.26,N,Commerical
CT,5/17/2021,5/30/2021,1259,8.5,6.67,10.41,N,Commerical
DC,5/17/2021,5/29/2021,1258,24.5,21.23,27.56,N,Commerical
DE,5/17/2021,5/28/2021,792,19.3,16.12,22.63,N,Commerical
FL,5/17/2021,5/28/2021,1381,25.4,22.95,28.24,N,Commerical
GA,5/17/2021,5/24/2021,1305,14.3,12.21,16.74,N,Commerical
HI,5/11/2021,5/29/2021,1288,1.8,0.67,3.21,N,Commerical
IA,5/14/2021,5/27/2021,906,11.9,9.43,14.83,N,Commerical
ID,5/13/2021,5/29/2021,1305,14,10.71,17.69,N,Commerical
IL,5/17/2021,5/29/2021,1306,32,28.85,35.05,N,Commerical
IN,5/13/2021,5/26/2021,832,20.2,15.35,25.01,N,Commerical
KS,5/14/2021,5/27/2021,1322,11.3,9.25,13.41,N,Commerical
KY,5/17/2021,5/28/2021,1429,23.7,21.16,26.84,N,Commerical
LA,5/14/2021,5/27/2021,1206,12.5,9.87,15.24,N,Commerical
MA,5/17/2021,5/29/2021,1258,9.7,7.6,11.77,N,Commerical
MD,5/13/2021,5/27/2021,1096,23.6,20.47,26.82,N,Commerical
ME,5/17/2021,5/29/2021,635,5.1,3.04,7.34,N,Commerical
MI,5/17/2021,5/29/2021,1342,28.5,25.38,31.85,N,Commerical
MN,5/12/2021,5/22/2021,1297,13.3,10.31,16.03,N,Commerical
MO,5/17/2021,5/26/2021,1383,25.3,21.89,28.78,N,Commerical
MS,5/17/2021,5/30/2021,1337,26.3,22.79,29.96,N,Commerical
MT,5/12/2021,5/26/2021,487,12.5,9.01,15.69,N,Commerical
NC,5/17/2021,5/29/2021,1272,22.7,20.07,25.57,N,Commerical
ND,5/17/2021,5/28/2021,24,777,NA,NA,N,Commerical
NE,5/17/2021,5/27/2021,1275,16.8,13.41,19.8,N,Commerical
NH,5/17/2021,5/26/2021,1278,8.9,6.61,11.74,N,Commerical
NJ,5/13/2021,5/27/2021,1266,30.4,27.59,33.14,N,Commerical
NM,5/11/2021,5/28/2021,1308,11.5,9.47,13.73,N,Commerical
NV,5/17/2021,5/21/2021,1304,25.3,22.57,28.25,N,Commerical
NY,5/11/2021,5/27/2021,1257,12.9,10.8,15.12,N,Commerical
OH,5/17/2021,5/29/2021,1464,37.6,34.78,40.39,N,Commerical
OK,5/13/2021,5/21/2021,1300,11.3,9.13,13.29,N,Commerical
OR,5/15/2021,5/29/2021,1303,7.1,5.53,9.05,N,Commerical
PA,5/17/2021,5/29/2021,1078,22.7,19.83,25.69,N,Commerical
PR,5/14/2021,5/25/2021,1300,69.3,66.08,72.36,N,Commerical
RI,5/17/2021,5/29/2021,917,12.6,10.15,15.49,N,Commerical
SC,5/17/2021,5/29/2021,1259,25.7,22.76,28.47,N,Commerical
SD,5/17/2021,5/28/2021,286,26.3,16.64,36.15,N,Commerical
TN,5/17/2021,5/29/2021,1400,28.1,23.97,32.36,N,Commerical
TX,5/13/2021,5/25/2021,1008,34.8,29.6,40.26,N,Commerical
UT,5/17/2021,5/26/2021,1309,27.1,22.74,31.94,N,Commerical
VA,5/13/2021,5/27/2021,1126,17.2,13.24,21.42,N,Commerical
VT,5/17/2021,5/29/2021,632,1.8,0.82,3.05,N,Commerical
WA,5/14/2021,5/25/2021,1299,6,4.46,7.45,N,Commerical
WI,5/17/2021,5/28/2021,1303,35.8,32.69,39.57,N,Commerical
WV,5/16/2021,5/30/2021,1234,10.7,8.73,12.66,N,Commerical
WY,5/17/2021,5/28/2021,614,23.6,19.12,28.86,N,Commerical
AK,5/24/2021,6/12/2021,1291,8.8,5.9,13.01,N,Commerical
AL,5/31/2021,6/13/2021,1460,29.2,26.64,32.06,N,Commerical
AR,5/31/2021,6/12/2021,1331,22.9,20.3,25.74,N,Commerical
AZ,5/31/2021,6/4/2021,1309,26.4,23.92,29.13,N,Commerical
CA,5/31/2021,6/9/2021,1312,23.1,20.36,25.51,N,Commerical
CO,5/25/2021,6/7/2021,1305,12.4,9.11,16.17,N,Commerical
CT,5/31/2021,6/13/2021,1285,9.4,7.66,11.35,N,Commerical
DC,6/1/2021,6/12/2021,1272,21,17.87,24.27,N,Commerical
DE,6/1/2021,6/12/2021,1369,19.5,16.12,22.53,N,Commerical
FL,6/1/2021,6/12/2021,1178,24.1,21.61,26.78,N,Commerical
GA,5/28/2021,6/9/2021,1298,14.4,12.53,16.48,N,Commerical
HI,5/26/2021,6/12/2021,1350,1.9,1.02,2.81,N,Commerical
IA,5/28/2021,6/12/2021,1175,15.7,12.67,19.16,N,Commerical
ID,5/28/2021,6/12/2021,1295,9.7,7.54,12.24,N,Commerical
IL,5/31/2021,6/12/2021,1422,35.4,31.76,39.1,N,Commerical
IN,5/27/2021,6/9/2021,759,25.6,21.06,33.61,N,Commerical
KS,5/24/2021,6/9/2021,1301,9.9,7.56,12.47,N,Commerical
KY,5/31/2021,6/13/2021,1416,26.8,24.02,29.29,N,Commerical
LA,5/30/2021,6/11/2021,1298,12.7,10.4,15.11,N,Commerical
MA,5/31/2021,6/12/2021,1289,10.5,8.53,12.46,N,Commerical
MD,5/27/2021,6/10/2021,1022,27.2,24.04,30.6,N,Commerical
ME,5/31/2021,6/13/2021,500,4.9,2.82,7.13,N,Commerical
MI,5/31/2021,6/13/2021,1494,27.8,25.02,31.18,N,Commerical
MN,5/28/2021,6/10/2021,1297,12.3,10.12,15,N,Commerical
MO,6/1/2021,6/12/2021,1403,26.5,22.54,30.29,N,Commerical
MS,5/31/2021,6/13/2021,1504,31.5,28.1,35.16,N,Commerical
MT,6/1/2021,6/11/2021,461,9.2,6.16,12.82,N,Commerical
NC,5/31/2021,6/9/2021,1268,23.8,21.12,26.36,N,Commerical
ND,6/1/2021,6/13/2021,25,777,NA,NA,N,Commerical
NE,5/28/2021,6/12/2021,1207,17.1,13.92,20.64,N,Commerical
NH,5/31/2021,6/8/2021,1295,9.9,6.92,13.28,N,Commerical
NJ,5/27/2021,6/10/2021,1201,30.2,27.29,33.48,N,Commerical
NM,5/28/2021,6/12/2021,1296,10.4,8.49,12.42,N,Commerical
NV,5/31/2021,6/4/2021,1309,28.7,25.79,31.89,N,Commerical
NY,5/30/2021,6/11/2021,1317,13.2,11.07,15.9,N,Commerical
OH,5/31/2021,6/12/2021,1357,37.3,34.31,40.39,N,Commerical
OK,5/28/2021,6/5/2021,1301,12.8,10.88,14.93,N,Commerical
OR,5/26/2021,6/12/2021,1312,4.3,2.85,5.9,N,Commerical
PA,5/31/2021,6/13/2021,1675,23.3,20.93,25.72,N,Commerical
PR,5/31/2021,6/8/2021,1300,74.8,71.72,77.91,N,Commerical
RI,5/31/2021,6/13/2021,801,11.1,8.53,13.92,N,Commerical
SC,5/31/2021,6/11/2021,1281,27.7,24.63,30.33,N,Commerical
SD,5/31/2021,6/11/2021,267,31.7,22.07,44.04,N,Commerical
TN,5/31/2021,6/12/2021,1567,29.2,26.71,31.86,N,Commerical
TX,5/27/2021,6/10/2021,1037,32.2,28.07,35.99,N,Commerical
UT,5/31/2021,6/5/2021,1306,27.7,23.32,32.33,N,Commerical
VA,5/27/2021,6/10/2021,1033,17.1,13.11,21.39,N,Commerical
VT,5/31/2021,6/12/2021,479,1.8,0.49,3.29,N,Commerical
WA,5/28/2021,6/11/2021,1301,6,4.54,7.61,N,Commerical
WI,5/31/2021,6/13/2021,1310,32.9,29.4,36.83,N,Commerical
WV,5/28/2021,6/13/2021,1281,12.4,10.23,14.8,N,Commerical
WY,6/1/2021,6/12/2021,643,26.2,21.6,31.49,N,Commerical
AK,6/11/2021,6/26/2021,1346,8.3,4.23,13.31,N,Commerical
AL,6/14/2021,6/27/2021,1697,29.5,27.01,32.07,N,Commerical
AR,6/14/2021,6/26/2021,1341,23.1,20.43,25.47,N,Commerical
AZ,6/14/2021,6/25/2021,1413,28.5,25.73,31.33,N,Commerical
CA,6/14/2021,6/21/2021,1308,25.3,22.87,28.04,N,Commerical
CO,6/12/2021,6/24/2021,1315,10.7,7.64,13.81,N,Commerical
CT,6/14/2021,6/27/2021,1293,7.7,6.17,9.5,N,Commerical
DC,6/14/2021,6/26/2021,1329,24.1,20.95,27.49,N,Commerical
DE,6/14/2021,6/26/2021,1985,23.2,19.07,27.02,N,Commerical
FL,6/14/2021,6/25/2021,1363,27.5,24.88,30.21,N,Commerical
GA,6/10/2021,6/21/2021,1302,15,12.76,17.21,N,Commerical
HI,6/8/2021,6/26/2021,1323,1.9,1.09,2.72,N,Commerical
IA,6/7/2021,6/26/2021,1177,14.5,10.99,18.34,N,Commerical
ID,6/11/2021,6/26/2021,1310,9.1,6.73,11.97,N,Commerical
IL,6/14/2021,6/25/2021,1680,33.2,30.46,36.23,N,Commerical
IN,6/10/2021,6/23/2021,744,18.7,13.91,24.64,N,Commerical
KS,6/7/2021,6/24/2021,1308,10.9,7.09,14.62,N,Commerical
KY,6/14/2021,6/27/2021,1483,24.9,21.88,27.43,N,Commerical
LA,6/11/2021,6/26/2021,1293,11.8,9.8,13.87,N,Commerical
MA,6/14/2021,6/27/2021,1293,8.3,6.63,10.23,N,Commerical
MD,6/11/2021,6/23/2021,776,23.1,19.91,26.63,N,Commerical
ME,6/14/2021,6/26/2021,616,5.2,2.8,8.1,N,Commerical
MI,6/14/2021,6/26/2021,1548,26.7,23.7,29.46,N,Commerical
MN,6/7/2021,6/19/2021,1295,11.5,9.4,13.85,N,Commerical
MO,6/14/2021,6/23/2021,1481,21.8,18.59,25.16,N,Commerical
MS,6/14/2021,6/26/2021,1551,33.3,29.95,36.5,N,Commerical
MT,6/13/2021,6/25/2021,507,6.7,4.43,9.47,N,Commerical
NC,6/14/2021,6/25/2021,1315,22.8,20.23,25.34,N,Commerical
ND,6/14/2021,6/25/2021,34,777,NA,NA,N,Commerical
NE,6/11/2021,6/24/2021,1300,12.4,10.01,14.99,N,Commerical
NH,6/14/2021,6/17/2021,1308,5.2,3.64,6.83,N,Commerical
NJ,6/10/2021,6/23/2021,937,31.2,27.77,34.53,N,Commerical
NM,6/11/2021,6/25/2021,1306,11.2,8.96,13.26,N,Commerical
NV,6/14/2021,6/27/2021,1318,30.4,27.35,33.32,N,Commerical
NY,6/11/2021,6/26/2021,1312,12.6,10.58,14.77,N,Commerical
OH,6/14/2021,6/25/2021,1634,36.3,33.78,38.92,N,Commerical
OK,6/10/2021,6/24/2021,1299,12.4,10.36,14.47,N,Commerical
OR,6/10/2021,6/24/2021,1286,6.1,4.46,8.01,N,Commerical
PA,6/14/2021,6/27/2021,2637,24.3,22.62,26.24,N,Commerical
PR,6/14/2021,6/22/2021,1300,77.8,74.9,81.17,N,Commerical
RI,6/14/2021,6/26/2021,899,9.3,7.09,12.18,N,Commerical
SC,6/14/2021,6/25/2021,1325,25.6,23.01,28.57,N,Commerical
SD,6/14/2021,6/25/2021,328,36.8,25.09,47.26,N,Commerical
TN,6/14/2021,6/22/2021,1758,27.9,25.56,30.72,N,Commerical
TX,6/11/2021,6/23/2021,755,35.7,29.47,41.53,N,Commerical
UT,6/14/2021,6/25/2021,1307,30.8,26.18,35.36,N,Commerical
VA,6/10/2021,6/23/2021,821,16.4,11.66,20.58,N,Commerical
VT,6/14/2021,6/26/2021,541,3,1.69,5.02,N,Commerical
WA,6/10/2021,6/24/2021,1296,5.5,4.02,7.17,N,Commerical
WI,6/14/2021,6/26/2021,1382,30.6,27.65,34.25,N,Commerical
WV,6/11/2021,6/27/2021,1278,8.6,6.71,10.35,N,Commerical
WY,6/14/2021,6/27/2021,630,24.5,19.54,29.23,N,Commerical
AK,6/22/2021,7/10/2021,1229,9.3,6.07,14.75,N,Commerical
AL,6/28/2021,7/6/2021,1328,29.2,26.29,32.54,N,Commerical
AR,6/28/2021,7/10/2021,1307,25.2,22.4,27.62,N,Commerical
AZ,6/28/2021,7/2/2021,1300,29.7,26.96,32.57,N,Commerical
CA,6/28/2021,7/6/2021,1314,21.1,18.79,23.65,N,Commerical
CO,6/25/2021,7/2/2021,1216,9.6,7.28,12.52,N,Commerical
CT,6/28/2021,7/11/2021,1299,6.5,5.03,8.4,N,Commerical
DC,6/28/2021,7/9/2021,1304,22.3,19.58,25.08,N,Commerical
DE,6/28/2021,7/11/2021,1337,21.5,18.53,24.7,N,Commerical
FL,6/29/2021,7/9/2021,1396,25.4,23.01,27.96,N,Commerical
GA,6/24/2021,6/30/2021,1298,12.4,10.12,14.75,N,Commerical
